"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71720","TestDatastoreSuite/TestContainerRegistry","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","168600","TestDeviceConnectivitySuite/TestNetworkConfigFallback","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","3663380","TestStorageSuite","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","548660","TestBootstrapSuite/TestBootstrapWithInstaller","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","483350","TestApplicationConnectivitySuite/TestFlowLog","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","184440","TestStorageSuite/TestExtraDiskAttach","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","1680","TestAppsSuite/TestVMAppPurgeReplacesVMIRS","","2026-09-04","skipped","2026-09-04","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","233700","TestPcibackErrorSuite/TestReportWarningsOnly","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","3057110","TestNodeClusterSuite/TestTieBreakerCluster","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/cluster","github.com/lf-edge/eve/evetest/tests/cluster",""
"","317020","TestApplicationConnectivitySuite/TestPropagatedRoutes","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","172510","TestBootstrapSuite/TestBootstrapWithManualProxyConfigUsingOverrideJSON","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","1165860","TestSecuritySuite","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","7188060","TestDeviceConnectivitySuite","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","398880","TestSecuritySuite/TestControllerSigningCertChange","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","10780","TestPcibackErrorSuite/TestReportCycleDetected","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","8050","TestPcibackErrorSuite/TestReportClearsOnFix","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","55750","TestApplicationConnectivitySuite/TestApplicationIPv6Connectivity","","2026-09-04","skipped","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","115570","TestSecuritySuite/TestVCom","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/security","github.com/lf-edge/eve/evetest/tests/security",""
"","420960","TestApplicationConnectivitySuite/TestLimitedIPSpace","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
